voxel_id,tbm_node_id,component,face_chainage_m,voxel_chainage_m,voxel_y_m,voxel_z_m,distance_m,normal_compatibility,edge_weight,anomaly_score_q,weighted_contribution,Vp_m_per_s,Vs_m_per_s,low_velocity_anomaly_score_q,geological_zone_label,timestamp,rank_all
11016,412,middle_shield,1017204.99048,1017200.0,0.0,4.0,0.0509,0.98234,0.95765,0.891,0.85327,3196.2,1887.7,0.891,shield_squeezing_zone,2024-08-03 16:20:00,1
11288,340,middle_shield,1017204.99048,1017201.0,0.0,4.0,0.0509,0.98234,0.95765,0.8286,0.79351,3308.6,1934.6,0.8286,shield_squeezing_zone,2024-08-03 16:20:00,2
10744,484,middle_shield,1017204.99048,1017199.0,0.0,4.0,0.0509,0.98234,0.95765,0.8196,0.78489,3324.7,1872.5,0.8196,shield_squeezing_zone,2024-08-03 16:20:00,3
12104,124,front_shield,1017204.99048,1017204.0,0.0,4.0,0.0509,0.98234,0.95765,0.8057,0.77158,3349.7,1894.2,0.8057,shield_squeezing_zone,2024-08-03 16:20:00,4
11832,196,front_shield,1017204.99048,1017203.0,0.0,4.0,0.0509,0.98234,0.95765,0.7831,0.74994,3390.5,1917.3,0.7831,shield_squeezing_zone,2024-08-03 16:20:00,5
11560,268,front_shield,1017204.99048,1017202.0,0.0,4.0,0.0509,0.98234,0.95765,0.7679,0.73538,3417.8,1895.8,0.7679,shield_squeezing_zone,2024-08-03 16:20:00,6
11342,331,middle_shield,1017204.99048,1017201.0,4.0,0.0,0.0509,0.98234,0.95765,0.7339,0.70282,3479.0,1992.6,0.7339,shield_squeezing_zone,2024-08-03 16:20:00,7
12376,43,cutterhead,1017204.99048,1017205.0,0.0,4.0,0.00952,1.0,0.99525,0.6944,0.6911,3550.0,2019.1,0.6944,shield_squeezing_zone,2024-08-03 16:20:00,8
10472,556,tail_shield,1017204.99048,1017198.0,0.0,4.0,0.0509,0.98234,0.95765,0.7005,0.67084,3539.1,1974.8,0.7005,shield_squeezing_zone,2024-08-03 16:20:00,9
10991,415,middle_shield,1017204.99048,1017200.0,-2.0,4.0,0.57982,0.88666,0.66352,1.0,0.66352,2979.6,1665.4,1.0,shield_squeezing_zone,2024-08-03 16:20:00,11
11807,199,front_shield,1017204.99048,1017203.0,-2.0,4.0,0.57982,0.88666,0.66352,1.0,0.66352,2971.5,1693.2,1.0,shield_squeezing_zone,2024-08-03 16:20:00,10
11235,346,middle_shield,1017204.99048,1017201.0,-4.0,2.0,0.57982,0.88666,0.66352,1.0,0.66352,2794.0,1605.6,1.0,shield_squeezing_zone,2024-08-03 16:20:00,18
11888,190,front_shield,1017204.99048,1017203.0,4.0,2.0,0.57982,0.88666,0.66352,1.0,0.66352,2846.5,1636.9,1.0,shield_squeezing_zone,2024-08-03 16:20:00,13
11507,274,front_shield,1017204.99048,1017202.0,-4.0,2.0,0.57982,0.88666,0.66352,1.0,0.66352,2946.4,1662.7,1.0,shield_squeezing_zone,2024-08-03 16:20:00,16
10691,490,middle_shield,1017204.99048,1017199.0,-4.0,2.0,0.57982,0.88666,0.66352,1.0,0.66352,2972.2,1691.5,1.0,shield_squeezing_zone,2024-08-03 16:20:00,21
